Bike ID,Gender,Birth Year,Age,Trip Duration,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,Start Time,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Stop Time
33887,Male,2002,22,1367,3191,Union St,40.7182113,-74.0836394,2021-01-01 12:18:46.0270,3206,Hilltop,40.7311689,-74.0575736,2021-01-01 12:41:33.6220
42838,Male,1962,62,1025,3638,Washington St,40.7242941,-74.0354826,2021-01-01 12:20:09.2330,3199,Newport Pkwy,40.7287448,-74.0321082,2021-01-01 12:37:15.0650
29718,Unknown,1969,55,6773,3639,Harborside,40.7192517,-74.034234,2021-01-01 12:23:21.1060,4069,Cabrini Blvd & W 177 St,40.848282,-73.941343,2021-01-01 14:16:14.2680
40440,Male,1996,28,1196,3199,Newport Pkwy,40.7287448,-74.0321082,2021-01-01 12:28:37.0030,3199,Newport Pkwy,40.7287448,-74.0321082,2021-01-01 12:48:33.5430
42838,Male,1962,62,1310,3199,Newport Pkwy,40.7287448,-74.0321082,2021-01-01 12:39:52.9240,3638,Washington St,40.7242941,-74.0354826,2021-01-01 13:01:43.0540
47257,Male,2002,22,3419,3206,Hilltop,40.7311689,-74.0575736,2021-01-01 12:43:15.8760,3791,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131607,2021-01-01 13:40:15.4760
30303,Unknown,1969,55,725,3205,JC Medical Center,40.71653978099194,-74.0496379137039,2021-01-01 12:51:51.3900,3187,Warren St,40.7211236,-74.03805095,2021-01-01 13:03:56.4750
41696,Female,1990,34,331,3679,Bergen Ave,40.722103786686034,-74.07145500183105,2021-01-01 12:57:47.5460,3195,Sip Ave,40.73089709786179,-74.06391263008118,2021-01-01 13:03:19.1820
44968,Male,1993,31,248,3275,Columbus Drive,40.71835519823214,-74.03891444206238,2021-01-01 12:59:56.4060,3638,Washington St,40.7242941,-74.0354826,2021-01-01 13:04:04.5310
42343,Male,1988,36,397,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,2021-01-01 13:02:05.0480,3267,Morris Canal,40.7124188237569,-74.03852552175522,2021-01-01 13:08:42.9110
46926,Male,1991,33,540,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,2021-01-01 13:02:42.8470,3199,Newport Pkwy,40.7287448,-74.0321082,2021-01-01 13:11:43.0630
46539,Unknown,1969,55,7211,3192,Liberty Light Rail,40.7112423,-74.0557013,2021-01-01 13:04:18.0400,3192,Liberty Light Rail,40.7112423,-74.0557013,2021-01-01 15:04:29.0900
44452,Unknown,1969,55,7210,3192,Liberty Light Rail,40.7112423,-74.0557013,2021-01-01 13:04:32.3550,3192,Liberty Light Rail,40.7112423,-74.0557013,2021-01-01 15:04:42.4130
40709,Unknown,1969,55,7181,3192,Liberty Light Rail,40.7112423,-74.0557013,2021-01-01 13:04:43.9400,3192,Liberty Light Rail,40.7112423,-74.0557013,2021-01-01 15:04:25.3960
38392,Male,1986,38,203,3211,Newark Ave,40.72152515,-74.046304543,2021-01-01 13:05:49.8280,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,2021-01-01 13:09:13.1580
32095,Male,1987,37,419,3194,McGinley Square,40.7253399253558,-74.06762212514877,2021-01-01 13:06:05.6420,3195,Sip Ave,40.73089709786179,-74.06391263008118,2021-01-01 13:13:04.9620
39442,Male,1998,26,341,3638,Washington St,40.7242941,-74.0354826,2021-01-01 13:06:35.6510,3203,Hamilton Park,40.727595966,-74.044247311,2021-01-01 13:12:16.8940
42838,Male,1962,62,1343,3638,Washington St,40.7242941,-74.0354826,2021-01-01 13:07:47.5460,3186,Grove St PATH,40.71958611647166,-74.04311746358871,2021-01-01 13:30:10.8580
40756,Male,1962,62,332,3202,Newport PATH,40.7272235,-74.0337589,2021-01-01 13:13:32.5680,3681,Grand St,40.71517767732029,-74.03768330812454,2021-01-01 13:19:05.4730
47252,Male,1978,46,1815,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,2021-01-01 13:14:32.8080,3191,Union St,40.7182113,-74.0836394,2021-01-01 13:44:48.6130
45352,Male,1959,65,479,3195,Sip Ave,40.73089709786179,-74.06391263008118,2021-01-01 13:15:26.4390,3280,Astor Place,40.71928220070702,-74.07126188278198,2021-01-01 13:23:25.4950
47054,Male,1980,44,264,3186,Grove St PATH,40.71958611647166,-74.04311746358871,2021-01-01 13:20:37.9000,3209,Brunswick St,40.7241765,-74.0506564,2021-01-01 13:25:02.5190
42157,Male,1960,64,321,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,2021-01-01 13:22:56.6840,3638,Washington St,40.7242941,-74.0354826,2021-01-01 13:28:18.4590
41696,Male,1996,28,685,3195,Sip Ave,40.73089709786179,-74.06391263008118,2021-01-01 13:23:49.1320,3193,Lincoln Park,40.7246050998869,-74.07840594649315,2021-01-01 13:35:14.8090
45352,Female,1997,27,557,3280,Astor Place,40.71928220070702,-74.07126188278198,2021-01-01 13:23:54.5880,3195,Sip Ave,40.73089709786179,-74.06391263008118,2021-01-01 13:33:11.8540
45274,Female,1994,30,1491,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,2021-01-01 13:24:32.4160,3199,Newport Pkwy,40.7287448,-74.0321082,2021-01-01 13:49:23.4270
43361,Male,1991,33,1467,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,2021-01-01 13:24:43.2540,3199,Newport Pkwy,40.7287448,-74.0321082,2021-01-01 13:49:10.9910
32575,Female,1989,35,3167,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,2021-01-01 13:26:43.4280,3791,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131607,2021-01-01 14:19:30.8380
38906,Unknown,1984,40,3137,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,2021-01-01 13:27:09.6890,3791,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131607,2021-01-01 14:19:27.2520
32095,Male,1987,37,330,3195,Sip Ave,40.73089709786179,-74.06391263008118,2021-01-01 13:27:34.6990,3194,McGinley Square,40.7253399253558,-74.06762212514877,2021-01-01 13:33:04.8060
